j,x,F(x),S(x),diff_F,F'(x),S'(x),diff_F',F''(x),S''(x),diff_F''
0,-1,2,2,0,-3,-3,0,0,0,0
1,-0.95,1.85013,1.85013,2.22045e-16,-2.9925,-2.9925,4.44089e-16,0.3,0.3,4.44089e-16
2,-0.9,1.701,1.701,2.22045e-16,-2.97,-2.97,0,0.6,0.6,0
3,-0.85,1.55337,1.55337,-4.44089e-16,-2.9325,-2.9325,0,0.9,0.9,0
4,-0.8,1.408,1.408,2.22045e-16,-2.88,-2.88,0,1.2,1.2,-4.44089e-16
5,-0.75,1.26562,1.26562,0,-2.8125,-2.8125,0,1.5,1.5,0
6,-0.7,1.127,1.127,-2.22045e-16,-2.73,-2.73,0,1.8,1.8,4.44089e-16
7,-0.65,0.992875,0.992875,0,-2.6325,-2.6325,0,2.1,2.1,0
8,-0.6,0.864,0.864,1.11022e-16,-2.52,-2.52,4.44089e-16,2.4,2.4,0
9,-0.55,0.741125,0.741125,1.11022e-16,-2.3925,-2.3925,4.44089e-16,2.7,2.7,0
10,-0.5,0.625,0.625,0,-2.25,-2.25,0,3,3,0
11,-0.45,0.516375,0.516375,0,-2.0925,-2.0925,0,3.3,3.3,0
12,-0.4,0.416,0.416,0,-1.92,-1.92,0,3.6,3.6,0
13,-0.35,0.324625,0.324625,0,-1.7325,-1.7325,0,3.9,3.9,0
14,-0.3,0.243,0.243,-5.55112e-17,-1.53,-1.53,0,4.2,4.2,0
15,-0.25,0.171875,0.171875,0,-1.3125,-1.3125,0,4.5,4.5,0
16,-0.2,0.112,0.112,0,-1.08,-1.08,0,4.8,4.8,0
17,-0.15,0.064125,0.064125,0,-0.8325,-0.8325,0,5.1,5.1,0
18,-0.1,0.029,0.029,0,-0.57,-0.57,0,5.4,5.4,0
19,-0.05,0.007375,0.007375,8.67362e-19,-0.2925,-0.2925,0,5.7,5.7,0
20,0,0,0,0,0,0,0,6,6,0
21,0.05,0.007375,0.007375,6.245e-17,0.2925,0.2925,-1.66533e-16,5.7,5.7,0
22,0.1,0.029,0.029,2.77556e-17,0.57,0.57,-1.11022e-16,5.4,5.4,0
23,0.15,0.064125,0.064125,-4.16334e-17,0.8325,0.8325,-2.22045e-16,5.1,5.1,0
24,0.2,0.112,0.112,2.77556e-17,1.08,1.08,2.22045e-16,4.8,4.8,0
25,0.25,0.171875,0.171875,0,1.3125,1.3125,0,4.5,4.5,0
26,0.3,0.243,0.243,-2.77556e-17,1.53,1.53,-2.22045e-16,4.2,4.2,0
27,0.35,0.324625,0.324625,0,1.7325,1.7325,0,3.9,3.9,4.44089e-16
28,0.4,0.416,0.416,0,1.92,1.92,0,3.6,3.6,4.44089e-16
29,0.45,0.516375,0.516375,0,2.0925,2.0925,0,3.3,3.3,4.44089e-16
30,0.5,0.625,0.625,0,2.25,2.25,0,3,3,4.44089e-16
31,0.55,0.741125,0.741125,1.11022e-16,2.3925,2.3925,0,2.7,2.7,4.44089e-16
32,0.6,0.864,0.864,0,2.52,2.52,0,2.4,2.4,4.44089e-16
33,0.65,0.992875,0.992875,0,2.6325,2.6325,0,2.1,2.1,4.44089e-16
34,0.7,1.127,1.127,2.22045e-16,2.73,2.73,0,1.8,1.8,2.22045e-16
35,0.75,1.26562,1.26562,0,2.8125,2.8125,0,1.5,1.5,2.22045e-16
36,0.8,1.408,1.408,2.22045e-16,2.88,2.88,4.44089e-16,1.2,1.2,-2.22045e-16
37,0.85,1.55338,1.55338,2.22045e-16,2.9325,2.9325,0,0.9,0.9,1.11022e-16
38,0.9,1.701,1.701,0,2.97,2.97,-4.44089e-16,0.6,0.6,5.55112e-16
39,0.95,1.85013,1.85013,0,2.9925,2.9925,0,0.3,0.3,5.55112e-17
40,1,2,2,0,3,3,0,0,0,0
